Name,Price (new),Price (old),Price (original),Description,Sold,Discount,Discount Rate,Rating,Review Count,Author,Công ty phát hành,Loại bìa,Số trang,Nhà xuất bản,Ngày xuất bản,Kích thước,Phương thức giao hàng Seller Delivery,Bookcare,Dịch Giả,Ngôn ngữ,ISBN-13,Thương hiệu,Xuất xứ thương hiệu,Xuất xứ (Made in),Sản phẩm có được bảo hành không?,Hình thức bảo hành,Thời gian bảo hành,Chất liệu,Phiên bản sách,ISBN-10
Thay Đổi Câu Hỏi Thay Đổi Cuộc Đời,62000,85000,85000,"“Sự biến đổi nào, kể cả đới với cá nhân hoặc tổ chức đều bắt nguồn từ các câu hỏi mới. Marilee Adams mang đến cho chúng ta những công cụ đơn giản nhưng vô cùng mạnh mẽ để tìm ra các câu hỏi cho những ...",1029,23000,27,5.0,14,Tiến Sỹ Marilee Adams,Tân Việt,Bìa mềm,240,Nhà Xuất Bản Lao Động,2021-10-15 00:00:00,14 x 20.5 cm,,,Quế Hương,,,,,,,,,,,
Dinh Dưỡng Thai Kỳ (Mẹ Bầu Ăn Gì Giúp Con Phát Triển Toàn Diện Và Thông Minh,131500,189000,189000,"Giới thiệu tác giảLily Nichols là chuyên gia dinh dưỡng, nhà nghiên cứu và tác giả với niềm đam mê về dinh dưỡng dành cho phụ nữ trong thời kỳ mang thai. Các nghiên cứu của cô được đúc kết từ các tà...",1909,57500,30,4.8,102,Lily Nichols,Booklife,Bìa mềm,434,Nhà Xuất Bản Thanh Niên,2021-09-01 00:00:00,16 x 24 cm,,,Thảo Hà,,,,,,,,,,Phiên bản thường,
Thư Viện Nửa Đêm,120000,150000,150000,"Thắng hạng mục sách hư cấu của Goodreads.Được đưa vào danh sách tổng kết sách hay nhất năm của The Washington Post, Christian Science Monitor, New York Public Library, Boston Globe, Amazon, PureWow, ...",80,30000,20,4.7,12,Matt Haig,Nhã Nam,Bìa mềm,424,Nhà Xuất Bản Hội Nhà Văn,2021-08-01 00:00:00,14 x 20.5 cm,Nhà bán giao hàng cho khách hàng,,Matryoshka,,,,,,,,,,,
"Thiên Tài Bên Trái, Kẻ Điên Bên Phải (Tái Bản)",119930,179000,179000,"NẾU MỘT NGÀY ANH THẤY TÔI ĐIÊN, THỰC RA CHÍNH LÀ ANH ĐIÊN ĐẤY!Hỡi những con người đang oằn mình trong cuộc sống, bạn biết gì về thế giới của mình? Là vô vàn thứ lý thuyết được các bậc vĩ nhân kiểm ch...",26777,59070,33,4.8,5481,Cao Minh,Vibooks,Bìa mềm,424,Nhà Xuất Bản Thế Giới,2021-06-01 00:00:00,16 x 24 cm,,,Thu Hương,,,,,,,,,,Phiên bản thường,
Bí Mật Của May Mắn (Khổ Nhỏ)(Tái Bản),38700,45000,45000,"Câu chuyện trong Bí mật của May mắn hấp dẫn như câu chuyện thần thoại với những chân lý thực tế và vĩnh hằng của cuộc sống, mang lại cho người đọc, niềm tin, hy vọng, những trải nghiệm quý báu, đồng t...",780,6300,14,4.8,70,Alex Rovira,First News - Trí Việt,Bìa mềm,160,Nhà Xuất Bản Tổng hợp TP.HCM,2021-03-01 00:00:00,11.5 x 16.5 cm,Nhà bán giao hàng cho khách hàng,,Nguyễn Văn Phước-Khánh Thủy,,,,,,,,,,,
Làm Chủ - Mastery,170000,200000,200000,Làm Chủ   Cuốn sách này sẽ cho bạn thấy cần làm thế nào để tiếp tục quá trình học hỏi ở một cấp độ cao hơn. Nó sẽ chỉ ra những chiến lược không bao giờ lỗi thời để giải quyết vấn đề một cách sáng tạo...,390,30000,15,5.0,64,Robert Greene,NXB Trẻ,,,NXB Trẻ,,,Nhà bán giao hàng cho khách hàng,,,,,,,,,,,,,
Sách Vị Tu Sĩ Bán Chiếc Ferrari (Tái Bản),78400,98000,98000,"VỊ Tu Sĩ Bán Chiếc FERRARI không phải là một cuốn sách xa lạ, cuốn sách này là một trong những ấn phẩm kinh điển của thế giới về đề tài truyền cảm hứng, theo đuổi lý tưởng sống, và hướng về một cuộc s...",856,19600,20,4.8,100,Robin Sharma,First News - Trí Việt,Bìa mềm,272,Nhà Xuất Bản Tổng hợp TP.HCM,2020-09-07 14:19:49,14.5 x 20.5 cm,Nhà bán giao hàng cho khách hàng,,Thanh Thảo,,,,,,,,,,,
Siêu Cò – How To Be A Power Connector,249000,249000,249000,"Một câu nói nổi tiếng trong tiếng Tây Ban Nha “Nói cho tôi biết bạn chơi với ai, và tôi sẽ nói cho bạn biết bạn là người thế nào” hay Người Việt cũng có rất nhiều câu nói tương tự: “Đi với bụt mặc áo ...",13663,0,0,4.8,2250,Judy Robinett,CÔNG TY TNHH HAPPY LIVE,Bìa cứng,352,Nhà Xuất Bản Thế Giới,2022-07-10 10:33:44,,,,"Thái Phạm, Đỗ Ngọc Quỳnh Thư",,,,,,,,,,,
Kafka bên bờ biển (Tái Bản 2020),139000,158000,158000,"Kafka bên bờ biển (Tái Bản 2020)Kafka Tamura, mười lăm tuổi, bỏ trốn khỏi nhà ở Tokyo để thoát khỏi lời nguyền khủng khiếp mà người cha đã giáng xuống đầu mình.Ở phía bên kia quần đảo, Nakata, một ôn...",239,19000,12,4.8,38,Haruki Murakami,Nhã Nam,Bìa mềm,530,Nhà Xuất Bản Hội Nhà Văn,2020-03-01 00:00:00,15.5 x 24 cm,Nhà bán giao hàng cho khách hàng,,,,,,,,,,,,,
Con Đường Đi Đến Thành Công Bằng Sự Tử Tế (Tái Bản 2020),59500,70000,70000,"TOP 100 BEST SELLER   Quyển sách này nói về triết lý kinh doanh của một nhà kinh doanh tài ba hàng đầu Nhật Bản hiện đại - Inamori Kazuo, và tư tưởng làm người mẫu mực của một võ sĩ samurai chân chín...",486,10500,15,5.0,38,Inamori Kazuo,NXB Trẻ,,,NXB Trẻ,,,Nhà bán giao hàng cho khách hàng,,,,,,,,,,,,,
Sang Chấn Tâm Lý - Hiểu Để Chữa Lành,273000,350000,350000,"Hiện nay, chúng ta đã biết rằng sang chấn gây ra những thay đổi về sinh lý học trong cơ thể, những thứ giúp ta cảm nhận được mình đang sống. Những thay đổi này giải thích tại sao các cá nhân bị sang c...",663,77000,22,5.0,132,"Bessel Van Der Kolk, M.D",Saigon Books,Bìa mềm,572,Nhà Xuất Bản Thế Giới,2020-02-02 00:00:00,15.5 x 23.5 cm,Nhà bán giao hàng cho khách hàng,,,,,,,,,,,,,
Trở Về Từ Cõi Sáng (Tái Bản),66640,98000,98000,Trở Về Từ Cõi Sáng viết về đời sống sau khi chết. Nếu khi còn sống chúng ta biết và hiểu về sự chết thì chết không có gì là đáng sợ nữa. Những chuyện có thật trong Trở Về Từ Cõi Sáng do nhà văn Nguyên...,6769,31360,32,4.8,666,Nguyên Phong,First News - Trí Việt,Bìa mềm,208,Nhà Xuất Bản Thế Giới,2019-11-01 00:00:00,14 x 20.5 cm,,,,,,,,,,,,,Phiên bản thường,
Mục Tiêu,194600,229000,229000,"Giới thiệu lý thuyết các điểm hạn chế đã làm thay đổi tư duy của những nhà kinh doanh Hoa KỳĐược viết theo phong cách kịch tính, Mục tiêu là cuốn tiểu thuyết quản trị cực kỳ hấp dẫn, đã và đang thay ...",43,34400,15,5.0,4,Eliyahu M. Goldratt,Alphabooks,Bìa mềm,520,,2019-09-01 00:00:00,16 x 24 cm,Nhà bán giao hàng cho khách hàng,,,,,,,,,,,,,
Feynman Chuyện Thật Như Đùa (Tái Bản),167000,220000,220000,"Richard Feynman (1918-1988), người đoạt giải Nobel về Vật lý, đã kể về những cuộc phiêu lưu kỳ quặc. Bằng một giọng quá tài tình ông tường thuật lại trong cuốn sách những trải nghiệm của mình khi trao...",1264,53000,24,4.8,153,Richard P. Feynman,NXB Trẻ,Bìa mềm,440,NXB Trẻ,2019-03-03 00:00:00,14.5 x 20.5 cm,,,"Nguyễn Văn Liên, Nguyễn Huy Việt",,,,,,,,,,Phiên bản thường,
Những Truyện Hay Viết Cho Thiếu Nhi - Tô Hoài (Tái Bản 2019),66400,80000,80000,"Tập truyện tuyển chọn những truyện hay viết cho thiếu nhi của nhà văn Tô Hoài: Đám cưới chuột, Võ sĩ Bọ Ngựa, Dê và Lợn, Hai con ngỗng, Bàn Quý và Ngựa Con, Mùa xuân đã về đấy…“Bạn đọc nhỏ tuổi hay n...",521,13600,17,5.0,55,Tô Hoài,Nhà Xuất Bản Kim Đồng,Bìa mềm,304,,2019-02-14 00:00:00,14.5 x 20.5 cm,Nhà bán giao hàng cho khách hàng,,,,,,,,,,,,,
Luật Hấp Dẫn (Tái Bản),80100,89000,89000,"Luật Hấp Dẫn (Tái Bản) CHÚNG TA THƯỜNG NGHE RẰNG:""Những gì ta muốn, muốn ta"", hay ""Niềm tin mang đến đều ta mong muốn"", nhưng cốt lõi của những điều ấy chỉ lần đầu tiên được lý giải rõ ràng và giản d...",222,8900,10,5.0,25,Jerry Hicks,Nhã Nam,Bìa mềm,291,,2018-09-09 00:00:00,13 x 20.5 cm,Nhà bán giao hàng cho khách hàng,,,,,,,,,,,,,
Ai Sẽ Khóc Khi Bạn Lìa Xa,83700,90000,90000,Ai Sẽ Khóc Khi Bạn Lìa XaCuộc sống trôi qua thật quá nhanh. Và không có gì có làm trái tim bạn đau hơn là khi đã đi đến cuối cuộc đời và nhận ra bạn đã quên mất điều gì là quan trọng nhất - bởi bản t...,240,6300,7,5.0,36,Robin Sharma,NXB Trẻ,Bìa mềm,248,,2018-01-01 00:00:00,13 x 20.5 cm,Nhà bán giao hàng cho khách hàng,,"Minh Khương, Thiên Trang, Kew Pham",,,,,,,,,,,
Bảng Xếp Hạng Quân Vương - Tập 7 [Tặng Kèm Bookmark],40500,45000,45000,"Ở vương quốc nọ có một hoàng tử tên là Bojji, cậu bị khiếm thính và yếu ớt đến mức không nhấc nổi của một đứa con nít. Gần như tất cả mọi người, từ thần dân trong vương quốc cho đến đám quân lính hay ...",6,4500,10,0.0,0,Sousuke Toka,Nhà Xuất Bản Kim Đồng,Bìa mềm,220,Nhà Xuất Bản Kim Đồng,,13x18 cm,,,,,,,,,,,,,,
Sông Đà - Lịch Sử Một Vùng Biên Cảnh Việt Nam - Philippe Le Failler - Omega Plus,339000,399000,399000," SÔNG ĐÀ - LỊCH SỬ MỘT VÙNG BIÊN CẢNH VIỆT NAMGiới thiệu cuốn sách“Sông Đà: Lịch sử một vùng biên cảnh Việt Nam” là một công trình nghiên cứu đồ sộ của nhà sử học người Pháp Philippe Le Failler, man...",0,60000,15,0.0,0,N/A,Omega Plus,,,Nhà Xuất Bản Hồng Đức,,<p>24x16cm</p>,,,,,,,,,,,,,,
Truyện tranh - One Piece Color Walk DRAGON - Tuyển tập tranh Eiichiro Oda tập 10 - KĐ,132000,132000,132000, Số trang: 200Năm phát hành: 2025Nhà phát hành: NXB Kim ĐồngNhà xuất bản: NXB Kim ĐồngTác giả: Eiichiro Odabìa mềmCuốn Artbook tập hợp hơn 200 tranh màu từ 2019~2023!Đính kèm 3 tấm Poster SIÊU...,5,0,0,0.0,0,N/A,CÔNG TY TNHH THƯƠNG MẠI SÁCH NHÂN DÂN,,,Nhà Xuất Bản Kim Đồng,,,,,,,,,,,,,,,,
Phán Quan - Tập 2,143280,199000,199000,"Phán quan là những người luôn giữ cho lòng mình sạch sẽ, công minh để thực hiện sứ mệnh hoá giải “lồng” - thứ không gian đặc biệt hình thành từ bao nỗi vấn vương, oán sát của người đã khuất. Qua ngà...",37,55720,28,5.0,6,Mộc Tô Lý,Moon Novels,Bìa mềm,400,Nhà Xuất Bản Hà Nội,2025-05-24 00:00:00,24 x 15.7 cm,,Có,,,,,,,,,,,,
Tiểu Thuyết Doraemon - Nobita Và Cuộc Phiêu Lưu Vào Thế Giới Trong Tranh,54000,60000,60000,"Khi cả thế giới xôn xao về bức tranh cổ trị giá hàng chục tỉ yên mới được phát hiện thì Nobita đang cặm cụi vẽ bài mĩ thuật được giao trong kì nghỉ hè. Bỗng, một mảnh tranh lạ kì hình miếng chả cá từ ...",22,6000,10,0.0,0,Fujiko F Fujio,Nhà Xuất Bản Kim Đồng,Bìa mềm,240,Nhà Xuất Bản Kim Đồng,,13 x 19 cm,,Có,Thu Hằng,,,,,,,,,,,
Em Bé Và Tôi - Tập 1 [Tặng Kèm Special Jacket],67500,75000,75000,"Lũ trẻ nhà Enoki không còn mẹ. Gia đình họ giờ chỉ có ba người là bố, cậu bé Takuya học tiểu học và em Minoru! Dù bố đã cố gắng thế nào thì rốt cuộc, họ vẫn phải thống nhất rằng Takuya sẽ trông em vì ...",28,7500,10,5.0,2,Marimo Ragawa,Nhà Xuất Bản Kim Đồng,Bìa mềm,360,Nhà Xuất Bản Kim Đồng,,13x18 cm,,,,,,,,,,,,,,
Mô Hình Kinh Doanh Chiến Thắng,107200,168000,168000,Bạn đang đối mặt với thách thức:- Làm sao để doanh nghiệp vượt lên giữa thương trường đầy sóng gió và đối thủ bủa vây?- Làm sao để không mãi rơi vào vòng xoáy giá rẻ – chất lượng mà vẫn thua lỗ?- L...,59,60800,36,5.0,1,Lâm Bình Bảo,Thái Hà,,292,Nhà Xuất Bản Công Thương,,13x20.5 cm,,Có,,,,,,,,,,,,
Chiến Lược Sản Phẩm - 4 Cấp Tư Duy Để Tạo Sản Phẩm Kinh Doanh Hiệu Quả Và Có Lợi Nhuận Bền Vững,169000,199000,199000,"Cuốn sách sẽ mang đến cho bạn:04 cấp tư duy về sản phẩm P.E.S.I. Cô Hai bán cà phê dạo và CEO tập đoàn đa quốc gia đều hiểu rõ sản phẩm của mình, nhưng tại sao lại có sự khác biệt như vậy?12 chiến ...",50,30000,15,5.0,7,N/A,Công ty TNHH Truyền Thông Giver,Bìa mềm tay gấp,256,Nhà Xuất Bản Thế Giới,,,,,,,,,,,,,,,,
Người Ếch - Kẻ Giết Người Hàng Loạt,117700,157000,157000,    Người Ếch - Kẻ Giết Người Hàng Loạt   Nhắc đến Người Ếch điều chúng ta thường liên tưởng tới đầu tiên chính là những bộ mascot xanh lè đáng yêu.   Câu chuyện của nhà văn Shichiri Nakayama tha...,18,39300,25,5.0,2,Shichiri Nakayama,AZ Việt Nam,Bìa mềm,,NXB Dân Trí,2023-12-21 14:00:00,,Nhà bán giao hàng cho khách hàng,,,,,,,,,,,,,
Sưởi Ấm Mặt Trời - Phần Tiếp Theo Của Cây Cam Ngọt Của Tôi,128000,160000,160000,"    Sưởi Ấm Mặt Trời   Zezé, cậu bé tinh nghịch siêu hạng đồng thời cũng đáng yêu bậc nhất ngày ngào giờ đã thoát khỏi cuộc sống nghèo khó, cũng không còn phải chịu cảnh bị đánh đập thường xuyên n...",143,32000,20,5.0,10,JOSES MAURO DE VASCONCELOS,Nhã Nam,Bìa mềm,,Nhà Xuất Bản Hội Nhà Văn,2023-12-21 14:00:00,,Nhà bán giao hàng cho khách hàng,,,,,,,,,,,,,
Agatha Christie. Thi thể trong thư viện - Một vụ án của Jane Marple,75000,110000,110000,"Bảy giờ sáng một ngày thu đẹp trời, gia đình Đại tá Bantry lơ mơ thức giấc sau tiếng gọi hoảng loạn của cô hầu. Một chuyện kinh hoàng đã xảy ra: Trong thư viện, nằm sõng soài trên tấm thảm trải trước ...",395,35000,32,4.8,33,Agatha Christie,NXB Trẻ,Bìa mềm,236,NXB Trẻ,2024-07-16 00:00:00,13 x 20 cm,,,,,,,,,,,,,,
"Phương Pháp Học Tập Feynman - 5 Bước Giúp Bạn Học Nhanh, Nhớ Lâu, Tiến Bộ Vượt Bậc",104700,136000,136000,"    Phương Pháp Học Tập Feynman - 5 Bước Giúp Bạn Học Nhanh, Nhớ Lâu, Tiến Bộ Vượt Bậc    - Bạn có đang gặp khó khăn trong việc học tập?    - Học nhiều nhưng không nhớ?    - Kiến thức không áp d...",263,31300,23,5.0,16,N/A,Fahasa,,,NXB Dân Trí,,,Nhà bán giao hàng cho khách hàng,,,,,,,,,,,,,
"English Collocations In News - Đọc Tin Không “Vấp""",116610,169000,169000,ENGLISH COLLOCATIONS IN NEWS - ĐỌC TIN KHÔNG “VẤP* Giới thiệu tóm tắt: English collocations in news – Đọc tin không “vấp” là cuốn sách cung cấp các cụm từ cố định (collocations) được sử dụng thường ...,79,52390,31,4.7,10,N/A,Alpha Books,Bìa mềm,324,Nhà Xuất Bản Thế Giới,2024-06-26 14:34:58,"
<p>14.5x20.5</p>
<div id=""eJOY__extension_root"" class=""eJOY__extension_root_class""> </div>",,,,,,,,,,,,,,
Đường Xưa Mây Trắng - Theo Gót Chân Bụt - Thích Nhất Hạnh,261450,329000,329000,Đường Xưa Mây Trắng - Theo Gót Chân BụtĐường Xưa Mây Trắng là một câu chuyện vô cùng lý thú về cuộc đời của Bụt được kể lại dưới ngòi bút hùng hồn đầy chất thơ của tác giả. Với văn phong nhẹ nhàng gi...,2550,67550,21,5.0,211,Thích Nhất Hạnh,Phương Nam Book,Bìa mềm,713,Nhà Xuất Bản Thế Giới,2022-01-01 00:00:00,15.5 x 24 cm,,,,,,,,,,,,,Phiên bản thường,
Bắt trẻ đồng xanh,70000,100000,100000,"Holden Caulfield, 17 tuổi, đã từng bị đuổi học khỏi ba trường, và trường dự bị đại học Pencey Prep là ngôi trường thứ tư. Và rôi cậu lại trượt 4 trên 5 môn học và nhận được thông báo đuổi học. Câu chu...",240,30000,30,5.0,11,J. D. Salinger,Nhã Nam,Bìa mềm,328,Nhà Xuất Bản Hội Nhà Văn,,14*20.5cm,,Có,Phùng Khánh,,,,,,,,,,,
Combo Truyện - Haikyu,540000,600000,600000,"Bị mê hoặc bởi bộ môn bóng chuyền, Shoyo Hinata đã tham dự giải đấu đầu tiên cũng là cuối cùng thời cấp hai của mình. Nhưng đội của cậu lại thất bại trước tuyển thủ có biệt danh ""Vua của sân đấu&#...",264,60000,10,4.5,36,Haruichi Furudate,Kim Đồng,Bìa mềm,,Nhà Xuất Bản Kim Đồng,,"11,3x17,6",,,Ruyuha Kyouka,,,,,,,,,,,
Người Thầy (Tái Bản 2023),213600,267000,267000,"    Người Thầy   Nhân vật trung tâm trong cuốn sách là ông Ba Quốc, tức Thiếu tướng, Anh hùng Lực lượng vũ trang (LLVT) nhân dân Đặng Trần Đức, một nhà tình báo xuất sắc của tình báo quốc phòng Vi...",74,53400,20,5.0,5,N/A,NXB Tổng Hợp TPHCM,,,Nhà Xuất Bản Quân Đội Nhân Dân,,,Nhà bán giao hàng cho khách hàng,,,,,,,,,,,,,
Cô Hầu Gái,108540,162000,162000,"“Chào mừng đến với gia đình,” Nina Winchester vừa nói vừa bắt tay tôi bằng đôi bàn tay thon thả của cô ấy. Tôi mỉm cười lịch sự, nhìn quanh hành lang lát đá cẩm thạch. Làm việc ở đây là cơ hội cuối cù...",290,53460,33,4.7,30,Freida McFadden,Mintbooks,Bìa mềm,428,Nhà Xuất Bản Thanh Niên,2023-01-01 00:00:00,"14,5 x 20,5 cm",,,Mai Trang,,,,,,,,,,Phiên bản thường,
Đứa trẻ khác biệt,205000,205000,205000,Cuốn sách Đứa trẻ khác biệt được chuyển ngữ từ tác phẩm tiếng Anh nổi tiếng “Out-of-sync Child” của tác giả Carol Stock Kranowitz. Nếu bạn đã từng muốn tìm hiểu về rối loạn xử lý cảm giác (SPD) thì c...,75,0,0,5.0,3,N/A,NXB Thế Giới,Bìa mềm,384,Nhà Xuất Bản Thế Giới,2023-03-31 06:01:12,,,,Trần Thị Việt Hà,,,,,,,,,,,
Sách Trở nên phi thường - Becoming Supernatural - Happy Live,349000,349000,349000,"Tony Robbins, tác giả bán chạy số một của New York Times với tác phẩm Unshakeable đã nhận xét về Trở nên phi thường rằng: “Từ một nhà khoa học tài năng và là một nhà huấn luyện đầy nhiệt huyết, quyển ...",665,0,0,5.0,53,Dr. Joe Dispenza,CÔNG TY TNHH HAPPY LIVE,Bìa rời,456,Nhà Xuất Bản Thế Giới,2023-03-10 11:41:01,,,,Thái Phạm - Thu An,,,,,,,,,,,
Chú bé mang Pyjama sọc,55050,79000,79000,"Rất khó miêu tả câu chuyện về Chú bé mang pyjama sọc này. Thường thì chúng tôi vẫn tiết lộ vài chi tiết về cuốn sách trên bìa, nhưng trong trường hợp này chúng tôi nghĩ làm như vậy sẽ làm hỏng cảm giá...",1527,23950,30,5.0,142,John Boyne,Nhã Nam,Bìa mềm,253,Nhà Xuất Bản Hội Nhà Văn,2023-02-02 00:00:00,13 x 20.5 cm,,,Lê Nguyễn Lê,,,,,,,,,,Phiên bản thường,
Trí Tuệ Do Thái (Tái Bản),138700,189000,189000,"Trí tuệ Do Thái là một cuốn sách tư duy đầy tham vọng trong việc nâng cao khả năng tự học tập, ghi nhớ và phân tích - những điều đã khiến người Do Thái vượt trội lên, chiếm lĩnh những vị trí quan trọn...",2186,50300,27,4.8,128,Eran Katz,Alphabooks,Bìa mềm,444,Nhà Xuất Bản Công Thương,2022-12-12 00:00:00,13.0x20.5cm,,,Phương Oanh,,,,,,,,,,Phiên bản thường,
Luyện chuyên sâu ngữ pháp và bài tập tiếng Anh 6 tập 1 (Global),52000,79000,79000,“Luyện chuyên sâu Ngữ pháp và Bài tập tiếng Anh” phù hợp với các em từ lớp 6 tới lớp 9. Mỗi cuốn sách gồm các bài học với Từ vựng - Ngữ pháp - Bài tập tương ứng bám sát chương trình Tiếng Anh cấp THCS...,103,27000,34,4.8,6,Tống Ngọc Huyền,Megabook,Bìa mềm,172,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,2022-09-01 00:00:00,20.5 x 29.5cm,,,,,,,,,,,,,Phiên bản thường,
Sức Mạnh Của Thói Quen (Tái Bản 2022),109850,169000,169000,"Về cơ bản, người lớn và trẻ em không khác nhau là mấy. Bởi hầu hết những hành động hàng ngày của chúng ta đều là sản phẩm của thói quen vô thức. Thế nhưng không phải cá nhân, tổ chức nào cũng có được ...",1053,59150,35,4.8,68,Charles Duhigg,Alphabooks,Bìa mềm,436,Nhà Xuất Bản Lao Động,2022-05-05 00:00:00,13 x 20.5 cm,,,Lê Thảo Ly,,,,,,,,,,Phiên bản thường,
Tài Chính Dành Cho Nhà Quản Lý,109000,149000,149000,"Các báo cáo tài chính có ngôn ngữ riêng, một ngôn ngữ mà không phải nhà quản lý nào cũng có thể hiểu thấu đáo và chính xác. Đây là lý do khiến nhà quản lý đôi khi không nắm được bản chất vấn đề và đưa...",284,40000,27,4.8,18,Gene Siciliano,Alphabooks,Bìa mềm,344,Nhà Xuất Bản Khoa học và Kỹ thuật,2022-03-03 00:00:00,13 x 20.5 cm,,,Hương Giang,,,,,,,,,,Phiên bản thường,
Bản Đồ Các Ngày,137000,175000,175000,"“Một trải nghiệm văn chương giàu hình ảnh.” —The New York Times.“Bản đồ Các Ngày cho thấy Ransom Riggs đang đạt đỉnh cao phong độ, làm người hâm mộ trung thành háo hức mong chờ tập tiếp theo.” — NY J...",799,38000,22,4.8,164,Ransom Riggs,Nhã Nam,Bìa mềm,510,Nhà Xuất Bản Hội Nhà Văn,2021-12-01 00:00:00,14 x 20.5 cm,,,Đoàn Thị Thanh Mai,,,,,,,,,,Phiên bản thường,
Một Thoáng Ta Rực Rỡ Ở Nhân Gian,93963,135000,135000,"“Vuong thực sự có thiên tài quan sát.” The New York Times“Với một xuất thân bên rìa hết sức xa lạ, Vuong đã viết nên một tác phẩm trữ tình về quá trình tự khám phá chính mình, vừa thành thật đến choá...",15269,41037,30,4.8,2068,Ocean Vuong,Nhã Nam,Bìa mềm,304,Nhà Xuất Bản Hội Nhà Văn,2021-12-01 00:00:00,14 x 20.5 cm,,,Khánh Nguyên,,,,,,,,,,Phiên bản thường,
Trang Tử Nam Hoa Kinh (Thu Giang Nguyễn Duy Cần) (Tái Bản),130500,150000,150000,"Là tác phẩm do học giả Thu Giang Nguyễn Duy Cần dịch và bình chú bản Trang Tử Nam Hoa Kinh. Đây à tác phẩm dịch và bình chú Nam Hoa Kinh của Trang Tử rõ ràng, mạch lạc được mọi giới công nhận là bản d...",35,19500,13,5.0,7,Thu Giang Nguyễn Duy Cần,NXB Trẻ,Bìa mềm,520,NXB Trẻ,2021-07-15 00:00:00,13 x 19 cm,Nhà bán giao hàng cho khách hàng,,,,,,,,,,,,,
Ba Phút Sơ Cứu,110828,160000,160000,"3 phút là khoảng thời gian để cơ thể tiết ra adrenalin, hormon sống còn giúp máu về tim tốt hơn. Nếu bạn sơ cứu không đúng cách, máu về tim sẽ tồi hơn và các tế bào sẽ rối loạn chuyển hóa.3 phút là t...",3460,49172,31,5.0,344,BS Ngô Đức Hùng,Nhã Nam,Bìa mềm,204,Nhà Xuất Bản Thế Giới,2021-07-01 00:00:00,14 x 20.5 cm,,,,,,,,,,,,,Phiên bản thường,
Truyện Ngắn Nguyễn Huy Thiệp (Bìa Cứng) - Ấn Bản Kỷ Niệm 70 Năm Ngày Sinh Tác Giả - Với Minh Họa Của Các Họa Sĩ (Tái Bản - Bìa Xanh),313950,450000,450000,"Truyện ngắn Nguyễn Huy Thiệp (Với minh họa của các họa sĩ) được in lại theo bản năm 2007 cũng do Đông A xuất bản, nhân kỷ niệm 70 năm ngày sinh tác giả (1950 - 2020). Các truyện trong sách do chính nh...",771,136050,30,4.8,154,Nguyễn Huy Thiệp,Đông A,Bìa cứng,569,Nhà Xuất Bản Văn Học,2021-05-01 10:59:03,<p>18.5 x 26.5 cm</p>,,,,,,,,,,,,,,
Sách OSHO Yêu - Being In Love - Yêu Trong Tỉnh Thức,126000,168000,168000,"“YÊU” TRONG TỈNH THỨC VỚI OSHOMột chỉ dẫn “yêu không sợ hãi” đầy ngạc nhiên từ bậc thầy tâm linh Osho Những người đói khát trong nhu cầu, những người luôn kỳ vọng ở tình yêu chính là những người đau k...",1556,42000,25,5.0,259,Osho,First News - Trí Việt,Bìa gập,350,Nhà Xuất Bản Văn Hóa - Văn Nghệ TP.HCM,2021-01-01 00:00:00,14.5 x 20.5 cm,Nhà bán giao hàng cho khách hàng,,Lâm Đặng Cam Thảo,,,,,,,,,,,
Giải Mã Siêu Trí Nhớ,69500,139000,139000,"GIẢI MÃ SIÊU TRÍ NHỚCuốn sách đầy đủ tất cả các phương pháp ghi nhớ nhất hiện nay trên Thế giới và Việt Nam.( Cuốn sách bán gần 2000 bản trong hơn 1 tuần sau khi xuất bản ) ""Giải mã siêu trí nhớ"" ...",8960,69500,50,4.8,2130,Mai Tường Vân,Nhà Xuất Bản Đà Nẵng,,,Nhà Xuất Bản Đà Nẵng,,,,,,,,,,,,,,,,
Bộ 2 Cuốn Sách  Lời khuyên từ những nhà cố vấn hàng đầu thế giới – Tribe of mentor (Tập 1) và  (Tập 2) kt,396000,396000,396000,"Lời khuyên từ những nhà cố vấn hàng đầu thế giới – Tribe of mentor (Tập 1)Bạn biết đấy, lời khuyên từ những người thành công luôn “đắt giá”. Nếu bạn hiểu, sự thành công của họ không chỉ giá trị họ tự...",164,0,0,4.5,7,.,BIZBOOKS,Bìa mềm,,hong duc,,,,,,,,,,,,,,,,
Một Đời Thương Thuyết (Tái Bản),100000,135000,135000,"Hơn 40 năm kinh nghiệm trong nghề và cả nghiệp thương thuyết, Giáo sư Phan Văn Trường, Cố vấn thương mại quốc tế của chính phủ Pháp, có lẽ đã cố gắng thể hiện gần trọn vẹn trong cuốn sách này. Được vi...",3666,35000,26,5.0,377,Phan Văn Trường,NXB Trẻ,Bìa mềm,336,NXB Trẻ,,15.5 x 23 cm,,,,,,,,,,,,,,
